ID,Language,Subscription Type,Subscription Event Type,Purchase Store, Amount Converted ,Subscription Length,Free Trial User,Web User,Email Subscriber,Push Notifications,Open Count,Click Count
204,ENG,Limited,INITIAL_PURCHASE,App, $-   ,115,0,0,1,1,0,0
205,ENG,Limited,RENEWAL,Web, $119.00 ,366,0,0,1,1,0,0
206,FRA,Limited,INITIAL_PURCHASE,App, $-   ,91,0,0,0,1,NULL,NULL
207,ESP,Limited,RENEWAL,App, $-   ,182,0,0,1,1,0,0
208,HEB,Limited,RENEWAL,App, $-   ,55,0,0,1,1,0,0
209,ENG,Limited,RENEWAL,App, $-   ,274,0,1,1,1,0,0
210,ESP,Limited,INITIAL_PURCHASE,App, $-   ,281,0,0,1,1,0,0
211,DEU,Limited,INITIAL_PURCHASE,Web, $-   ,30,0,0,0,0,NULL,NULL
213,ESP,Lifetime,INITIAL_PURCHASE,Web, $195.56 ,28881,0,0,1,1,0,0
214,CHI,Lifetime,INITIAL_PURCHASE,App, $-   ,28776,0,0,1,1,1,0
215,ESC,Limited,INITIAL_PURCHASE,App, $-   ,182,0,0,0,1,NULL,NULL
216,POL,Limited,RENEWAL,App, $-   ,310,0,0,0,1,0,0
217,ESP,Limited,RENEWAL,Web, $169.00 ,731,0,1,1,1,NULL,NULL
218,FRA,Limited,INITIAL_PURCHASE,Web, $49.25 ,185,1,1,0,1,NULL,NULL
219,DEU,Limited,INITIAL_PURCHASE,Web, $35.97 ,90,0,1,1,1,1,0
220,ESP,Limited,RENEWAL,App, $-   ,366,0,0,1,1,0,0
221,ESP,Limited,INITIAL_PURCHASE,App, $-   ,92,0,0,1,1,11,0
223,FRA,Limited,RENEWAL,App, $-   ,313,0,0,0,1,16,0
224,POR,Limited,INITIAL_PURCHASE,Web, $35.97 ,107,1,1,0,1,3,0
225,ESC,Limited,INITIAL_PURCHASE,Web, $10.57 ,731,1,0,1,1,0,0
227,ENG,Limited,RENEWAL,App, $-   ,274,0,0,1,1,0,0
228,ESP,Limited,RENEWAL,App, $-   ,275,1,0,0,1,1,0
229,ENG,Limited,INITIAL_PURCHASE,Web, $69.76 ,182,0,1,1,1,NULL,NULL
230,ESP,Limited,INITIAL_PURCHASE,App, $-   ,288,0,0,1,1,0,0
231,FRA,Limited,INITIAL_PURCHASE,App, $-   ,92,0,0,1,1,6,4
232,CHI,Limited,INITIAL_PURCHASE,Web, $65.94 ,505,0,1,1,1,4,0
233,ENG,Limited,RENEWAL,App, $-   ,357,0,0,1,1,2,2
234,ALL,Lifetime,INITIAL_PURCHASE,Web, $189.00 ,28841,0,0,1,1,0,0
235,TGL,Limited,INITIAL_PURCHASE,Web, $-   ,731,0,0,0,1,NULL,NULL
236,ESP,Limited,INITIAL_PURCHASE,Web, $39.00 ,95,1,1,1,1,7,0
237,DEU,Limited,INITIAL_PURCHASE,App, $-   ,103,1,1,1,1,0,0
